title,url,stage,day,time,description
AIRNADETTE - 'WE WILL DUB YOU',http://www.airnadette.co.uk,THEATRE AND CIRCUS,FRIDAY,01:15 - 02:25,
AIRNADETTE - 'WE WILL DUB YOU',http://www.airnadette.co.uk,THEATRE AND CIRCUS,SATURDAY,01:15 - 02:25,
AIRNADETTE - 'WE WILL DUB YOU',http://www.airnadette.co.uk,THEATRE AND CIRCUS,SUNDAY,00:30 - 01:40,
AISLING FAHEY,getyourheadtogether.wordpress.com,THEATRE AND CIRCUS,FRIDAY,14:30 - 14:55,
AISLING FAHEY,getyourheadtogether.wordpress.com,THEATRE AND CIRCUS,SATURDAY,17:15 - 17:40,
AJÍ PA' TÍ,,GLASTO LATINO,THURSDAY,22:00 - 23:30,
AL O'KANE,https://www.facebook.com/alokanemusic,AVALON CAFE,WEDNESDAY,18:15 - 19:00,
ALABAMA 3,www.alabama3.co.uk,GLADE,FRIDAY,12:00 - 13:00,"Alabama 3 is a pop band, a punk rock, blues and country techno situationist crypto-Marxist-Leninist electro band."
ALASDAIR BECKETT-KING,http://www.abeckettking.com/,THEATRE AND CIRCUS,SUNDAY,18:00 - 18:10,
ALBA ROMA,https://www.facebook.com/albaroma,LEFT FIELD,SUNDAY,18:00 - 19:00,"Formed in 2012 as a musical reaction to Tory austerity and landfill indie rock with a gypsy-Celtic vibe and some witty one liners, no less."
ALBION KIDS SHOW,http://kidzfield.com,KIDZ FIELD,SUNDAY,09:00 - 19:00,
ALEX WINTERS’  CBEEBIES STAGE EXTRAVAGANZA,http://kidzfield.com,KIDZ FIELD,SUNDAY,16:00 - 16:45,
ALEX WINTERS’  CBEEBIES STAGE EXTRAVAGANZA,http://kidzfield.com,KIDZ FIELD,THURSDAY,16:00 - 16:45,
ALEXIS TAYLOR,www.hotchip.co.uk/,GLADE,SATURDAY,16:00 - 17:00,"Alexis Taylor is a musician, producer and songwriter from London. He co-foundedHot Chip, and has gone on to make 5 albums with the now expanded five-piece pop group"
ALIJI,https://soundcloud.com/aliji,SHANGRI-LA,FRIDAY,21:00 - 22:00,
ALIJI,,GLADE,SATURDAY,18:00 - 19:30,
ALISON DAVID,,GREEN FIELDS,FRIDAY,00:00 - 01:00,
ALISON DAVID,,GREEN FIELDS,SUNDAY,17:00 - 18:00,
ALISON MOYET,http://www.alisonmoyet.com,ACOUSTIC,SUNDAY,21:10 - 22:10,"After returning to her electronic roots for last year’s album ‘The Minutes’, Alison Moyet’s ageless voice continues to amaze. Tonight’s selection will undoubtedly travel way back through her career."
ALL GONE HOT,,GLADE,FRIDAY,00:30 - 01:30,
ALL GONE HOT,,GLADE,FRIDAY,23:30 - 00:30,
ALL WE ARE,https://www.facebook.com/thisisallweare,THE PARK,FRIDAY,11:30 - 12:15,Dreamy dream pop from this funky-lite trio who sport a nice line in close harmonies.
AMERICAN INTERIOR,,PILTON PALAIS,FRIDAY,02:00 - 04:00,
ANDI NEATE,http://www.andineate@yahoo.com,THEATRE AND CIRCUS,FRIDAY,12:30 - 13:00,
ANDI NEATE,http://www.facebook.com/andi.neate,THEATRE AND CIRCUS,SATURDAY,12:30 - 13:00,
ANDI NEATE,,THEATRE AND CIRCUS,SUNDAY,16:00 - 16:30,
ANDREA ADRIANO,,OTHER,SUNDAY,17:00 - 17:45,
ANDRES CERVERO,https://soundcloud.com/andres-cervero,SILVER HAYES,FRIDAY,15:30 - 16:00,With a mountain of tunes throughout the afternoon.
ANDREW MAXWELL,http://www.andrewmaxwellcomedian.com/,THEATRE AND CIRCUS,SUNDAY,22:50 - 23:20,
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.bandcamp.com/,THE PARK,FRIDAY,16:00 - 16:40,
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.com/,GREEN FIELDS,SATURDAY,18:30 - 19:30,
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.com/,GREEN FIELDS,THURSDAY,20:00 - 21:00,
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.com/,GREEN FIELDS,WEDNESDAY,21:00 - 22:00,
ANDY CRAVEN-GRIFFITHS,youtube.com/andypoetry,THEATRE AND CIRCUS,FRIDAY,12:50 - 13:15,
ANDY CRAVEN-GRIFFITHS,youtube.com/andypoetry,THEATRE AND CIRCUS,SATURDAY,14:15 - 14:40,
ANDY MARSHALL,,THEATRE AND CIRCUS,FRIDAY,19:00 - 19:45,
ANDY MARSHALL,,THEATRE AND CIRCUS,FRIDAY,22:45 - 23:30,
ANDY MARSHALL,,THEATRE AND CIRCUS,SATURDAY,19:00 - 19:45,
ANDY MARSHALL,,THEATRE AND CIRCUS,SATURDAY,22:45 - 23:30,
ANDY MARSHALL,,THEATRE AND CIRCUS,SUNDAY,19:00 - 19:45,
ANDY MARSHALL,,THEATRE AND CIRCUS,SUNDAY,22:45 - 23:30,
ANDY P,,SHANGRI-LA,SATURDAY,15:00 - 17:00,
ANDY P,,SHANGRI-LA,THURSDAY,00:00 - 02:00,
ANDY P & FRAISER FUNK,,SHANGRI-LA,SUNDAY,00:00 - 02:30,
ANDY SNATCH,,THEATRE AND CIRCUS,FRIDAY,11:50 - 12:20,
ANDY SNATCH,,THEATRE AND CIRCUS,SATURDAY,11:50 - 12:20,
ANDY SNATCH,,THEATRE AND CIRCUS,SUNDAY,11:50 - 12:20,
ANGEL HAZE,http://www.angelhazemusic.com/,PYRAMID STAGE,SATURDAY,13:15 - 14:00,"Having worked through an interest in secular music during her teens in Brooklyn, Angel Haze soon engaged in the hip-hop scene and became one if its more outspoken characters with her debut album ‘Dirty Gold’, released at the tail end of last year, bringing her witty repartee into focus."
ANGELIKI NIKOLAKAKI,,THEATRE AND CIRCUS,FRIDAY,20:39 - 20:46,
ANGELIKI NIKOLAKAKI,,THEATRE AND CIRCUS,FRIDAY,23:10 - 23:17,
ANGELIKI NIKOLAKAKI,,THEATRE AND CIRCUS,SATURDAY,20:54 - 21:01,
ANGELIKI NIKOLAKAKI,,THEATRE AND CIRCUS,SATURDAY,23:27 - 23:34,
ANGELIKI NIKOLAKAKI,,THEATRE AND CIRCUS,SUNDAY,22:28 - 22:35,
ANGIE MACK,,THEATRE AND CIRCUS,FRIDAY,13:45 - 14:15,
ANGIE MACK,,THEATRE AND CIRCUS,FRIDAY,15:25 - 15:55,
ANGIE MACK,,THEATRE AND CIRCUS,SATURDAY,13:45 - 14:15,
ANGIE MACK,,THEATRE AND CIRCUS,SATURDAY,15:25 - 15:55,
ANGIE MACK,,THEATRE AND CIRCUS,SUNDAY,11:05 - 11:35,
ANGIE MACK,,THEATRE AND CIRCUS,SUNDAY,13:45 - 14:15,
ANGUS JEFFORD,,THE UNFAIRGROUND,FRIDAY,03:00 - 04:30,
ANIMALISM,,SILVER HAYES,SATURDAY,03:30 - 04:30,
ANNA CALVI,http://annacalvi.com/,THE PARK,SATURDAY,20:00 - 21:00,"Her latest album, ‘One Breath’ was a clever mix of her virtuoso guitar, simple off kilter electronic elements and her amazing vocal range that flutters gracefully between a deep operatic bass and a wispy falsetto."
ANNA SAND,,THEATRE AND CIRCUS,FRIDAY,21:46 - 21:52,
ANNA SAND,,THEATRE AND CIRCUS,SATURDAY,22:03 - 22:09,
ANNA SAND,,THEATRE AND CIRCUS,SUNDAY,21:04 - 21:10,
ANNIE EVE,http://annieeve.tumblr.com/,SILVER HAYES,SATURDAY,13:30 - 13:55,“If you fell under Daughter’s spell in 2013 then you’ll likely be obsessed with Annie Eve in 2014.” said Drowned in Sound of this sublime songwriter.
ANNIE MAC,http://www.anniemacpresents.com/index.html,SILVER HAYES,SATURDAY,20:55 - 22:25,"Radio 1’s very own disc spinner straight from her electronic dance programme for the station, building the suspense for an old Glastonbury regular."
ANNIE MAC & PETE TONG,http://www.anniemacpresents.com/index.html,SILVER HAYES,FRIDAY,19:00 - 21:00,"Radio 1’s very own disc spinner straight from her electronic dance programme for the station, building the suspense for an old Glastonbury regular."
ANNIE MAC & PETE TONG,http://www.petetong.com/,SILVER HAYES,FRIDAY,21:00 - 23:00,It's all gone...
ANNIE MAC B2B TIGA,http://www.bbc.co.uk/programmes/b006wkfp,SHANGRI-LA,FRIDAY,01:00 - 02:00,
ANNIE TRAILER TRASH,,SHANGRI-LA,FRIDAY,12:00 - 13:00,
ANNIE TRAILER TRASH,,SHANGRI-LA,SATURDAY,12:00 - 13:00,
ANNIE TRAILER TRASH,,SHANGRI-LA,SUNDAY,12:00 - 13:00,
ANNIE TRAILER TRASH,,SHANGRI-LA,THURSDAY,12:00 - 13:00,
ANNIE TRAILER TRASH,,SHANGRI-LA,THURSDAY,22:30 - 00:00,
ANNIE TRAILER TRASH,,SHANGRI-LA,WEDNESDAY,22:30 - 00:00,
ANS,,GLADE,SATURDAY,21:00 - 22:30,
ANTI-FLAG,http://www.anti-flag.com/,LEFT FIELD,SUNDAY,21:00 - 22:00,Legendary US punk quartet who’ve travelled all over the globe delivering fiery anthems and air punching tirades.
ANTOSH WOJCIK,http://antoshwojciksyllablesyndrome.wordpress.com/,THEATRE AND CIRCUS,FRIDAY,14:05 - 14:30,
ANTOSH WOJCIK,http://antoshwojciksyllablesyndrome.wordpress.com/,THEATRE AND CIRCUS,SUNDAY,12:00 - 12:25,
ANTZ,,SHANGRI-LA,FRIDAY,02:00 - 03:00,
AOIFE O'DONOVAN,http://www.aoifeodonovan.com,ACOUSTIC,SATURDAY,12:20 - 13:00,Acclaimed by USA Today as the “new darling of the Americana set” and by Q as “Moody Americana – with teeth – the Stateside Laura Marling.“
APHROHEAD,https://www.youtube.com/watch?v=9mid2uxmu4m,GLADE,SATURDAY,23:30 - 00:30,"On the 21st Anniversary of his first ground breaking release, Aphrohead is back on Crosstown Rebels with a limited edition, one sided 12"
APOLLONIA,,SILVER HAYES,THURSDAY,23:00 - 00:00,
AQUILO,https://www.facebook.com/aquilouk,SILVER HAYES,SATURDAY,18:05 - 18:30,The vast and open surroundings of the Lake District is firmly instilled it in the music of this minimal but hugely atomospheric electronic duo.
ARABIC BELLY DANCE,,GREEN FIELDS,SATURDAY,10:00 - 12:30,
ARBOR CIRCUS,http://www.arborcircus.com,THEATRE AND CIRCUS,FRIDAY,13:31 - 13:41,
ARBOR CIRCUS,http://www.arborcircus.com,THEATRE AND CIRCUS,FRIDAY,18:28 - 18:38,
ARBOR CIRCUS,http://www.arborcircus.com,THEATRE AND CIRCUS,SATURDAY,13:31 - 13:41,
ARBOR CIRCUS,http://www.arborcircus.com,THEATRE AND CIRCUS,SATURDAY,18:43 - 18:53,
ARBOR CIRCUS,http://www.arborcircus.com,THEATRE AND CIRCUS,SUNDAY,13:31 - 13:41,
ARBOR CIRCUS,http://www.arborcircus.com,THEATRE AND CIRCUS,SUNDAY,18:20 - 18:30,
ARCADE FIRE,http://arcadefire.com/site/,PYRAMID STAGE,FRIDAY,22:00 - 23:45,"If new album ‘Reflektor’ took them from purveying symphonic indie symphonies to a rhythmic dancefloor previously owned by producer James Murphy (LCD SoundSystem), it doesn’t seem to have lost them any of their fervent following or their ability to spin a storyline around a melody. Mix that with their earliest much darker observations and tonight’s set promises to be very special indeed."
ARCADIA SOUNDSYSTEM,,ARCADIA,FRIDAY,01:55 - 02:55,
ARTHUR SMITH,http://www.arthursmith.co.uk/,THEATRE AND CIRCUS,SATURDAY,12:40 - 13:10,
ATILLA THE STOCKBROKER,http://www.attilathestockbroker.com/,THEATRE AND CIRCUS,FRIDAY,12:00 - 12:30,
ATILLA THE STOCKBROKER,http://www.attilathestockbroker.com,THEATRE AND CIRCUS,SUNDAY,13:15 - 14:00,
ATILLA THE STOCKBROKER & JOHN OTWAY,,THEATRE AND CIRCUS,SATURDAY,21:35 - 22:15,
ATTENTION TO DETAIL,,THEATRE AND CIRCUS,FRIDAY,13:35 - 13:45,
ATTENTION TO DETAIL,,THEATRE AND CIRCUS,FRIDAY,20:02 - 20:12,
ATTENTION TO DETAIL,,THEATRE AND CIRCUS,SATURDAY,14:20 - 14:30,
ATTENTION TO DETAIL,,THEATRE AND CIRCUS,SATURDAY,20:15 - 20:25,
ATTENTION TO DETAIL,,THEATRE AND CIRCUS,SUNDAY,13:35 - 13:45,
ATTENTION TO DETAIL,,THEATRE AND CIRCUS,SUNDAY,20:25 - 20:35,
AUDIO STUD,,GLADE,FRIDAY,15:00 - 16:15,
"AUS MUSIC BOAT PARTY PRESENTS WILL SAUL, MIDLAND, BICEP AND DUSKY",http://www.ausmusic.co.uk/,SILVER HAYES,SUNDAY,13:00 - 17:30,"Will Saul and Fink’s Aus Music label showcasing with a four and a half hour set featuring DJs Will Saul, Midland, Bicep and Dusky."
AUZZIE SPECIAL - FORMIDABLE VEGETABLE SOUNDSYSTEM / WOOHOO REVUE/ WORLDS TALLEST DJ,soundcloud.com/worlds-tallest-dj,SHANGRI-LA,SUNDAY,02:45 - 03:45,
AUZZIE SPECIAL - FORMIDABLE VEGETABLE SOUNDSYSTEM / WOOHOO REVUE/ WORLDS TALLEST DJ,http://music.formidablevegetable.com.au/,SHANGRI-LA,SUNDAY,03:45 - 05:00,
AVALON,https://soundcloud.com/avalon,GLADE,SATURDAY,22:30 - 23:45,
AVALON ROOTS,,GREEN FIELDS,SATURDAY,17:00 - 18:00,
AYLA SHAFER,,GREEN FIELDS,WEDNESDAY,14:40 - 15:40,
B-SIDE,https://soundcloud.com/dj-b-side-1,GLADE,THURSDAY,22:45 - 00:00,
B-TRAITS,http://btraits.com/,THE COMMON,FRIDAY,03:00 - 04:00,
BACK BEFORE BREAKFAST,https://myspace.com/backbeforebreakfast,THE BANDSTAND,FRIDAY,15:00 - 15:40,
BACK OF BEYOND SHOW,,THE COMMON,SATURDAY,23:00 - 04:00,
BACK OF BEYOND SHOW,,THE COMMON,SUNDAY,23:00 - 04:00,
BACK OF BEYOND SHOW,,THE COMMON,THURSDAY,20:00 - 23:00,
BACK OF BEYOND SHOW,,THE COMMON,WEDNESDAY,20:00 - 23:00,
BACK OF BEYOND SHOW WITH SPECIAL GUESTS VILLAGE DISCOS TACOS,,THE COMMON,FRIDAY,23:00 - 04:00,
BAGGY MONDAYS,https://www.facebook.com/baggymondays,THE PARK,THURSDAY,19:00 - 20:30,The ever-popular Madchester-flavoured indie disco returns for its usual Thursday night party-starting mayhem in the Stonebridge. Be ready to sing along!
BAILA LA CUMBIA,bailalacumbia.wordpress.com,THE BANDSTAND,SATURDAY,21:30 - 22:30,
BAJOFONDO,www.bajofondomusic.com,OTHER STAGE,SUNDAY,11:00 - 11:40,"OK, we’re not at the World Cup, not to worry, Bajofondo bring a taste of South America (Argentina rather than Brazil) with theremins, violins and violas vying for position. It’s murga, milonga, candombe but definitely not electrotango.  Caramba!"
BAJOFONDO,http://www.bajofondo.com/,SILVER HAYES,SUNDAY,16:30 - 18:00,"Bajofondo bring a taste of Argentina with theremins, violins and violas vying for position. It’s murga, milonga, candombe but definitely not electrotango."
BALOFO,,OTHER,FRIDAY,00:00 - 02:00,
BALOFO,,OTHER,SATURDAY,22:00 - 00:00,
BALOFO,,OTHER,SUNDAY,18:00 - 20:00,
BAND OF SKULLS,http://www.bandofskulls.com/,OTHER STAGE,FRIDAY,15:10 - 16:00,"Powerful rock trio whose throbbing ‘Asleep At The Wheel’ went Top 40 in the US last year. Beards, hair and shades for the men and Emma Richardson throwing contorted bass shapes amid the hysteria."
BARNEY GOODALL,www.facebook.com/stolenflames.music,AVALON CAFE,WEDNESDAY,19:00 - 19:45,
BARREN CARROUSEL,,THEATRE AND CIRCUS,FRIDAY,13:15 - 13:45,
BARREN CARROUSEL,,THEATRE AND CIRCUS,FRIDAY,17:40 - 18:25,
BARREN CARROUSEL,,THEATRE AND CIRCUS,SATURDAY,13:15 - 13:45,
BARREN CARROUSEL,,THEATRE AND CIRCUS,SATURDAY,17:40 - 18:25,
BARREN CARROUSEL,,THEATRE AND CIRCUS,SUNDAY,13:15 - 13:45,
BARREN CARROUSEL,,THEATRE AND CIRCUS,SUNDAY,17:40 - 18:25,
BARRY ASHWORTH,https://www.facebook.com/therealtimomaas,GLADE,FRIDAY,22:30 - 23:30,
BART AND BAKER,https://www.youtube.com/watch?v=bdlc9m1fdo4,SHANGRI-LA,FRIDAY,01:00 - 02:00,
BART AND BAKER FEAT ELLE AND THE POCKET BELLES,http://www.bartandbaker.com/,SHANGRI-LA,SATURDAY,02:00 - 04:00,
BEANS ON TOAST,www.beansontoastmusic.com,SHANGRI-LA,FRIDAY,18:00 - 18:45,
BEARDED KITTEN DJ'S,http://www.beardedkitten.com/,THE COMMON,SUNDAY,23:00 - 00:20,
BEATBOX COLLECTIVE,http://www.thebeatboxcollective.com/,THE COMMON,SATURDAY,01:00 - 02:00,
BEATUM FEAT VJ ROOFLX (DROP'IN CARAVAN),,THE COMMON,FRIDAY,22:30 - 23:30,
BEATY HEART,http://beatyheart.com/,SILVER HAYES,FRIDAY,11:25 - 11:50,"Inspired by everyone from The Beach Boys and Lee ‘Scratch’ Perry to Olivia Tremor Control, Peckham’s Beaty Heart’s eclectic influences have allowed them to create an evocative and hypnotising soundscape."
BEAU BOW BELLES,,OTHER,FRIDAY,00:00 - 01:00,
BEGGARS OF LIFE - DODGE BROS,,PILTON PALAIS,SATURDAY,18:00 - 20:00,
BELLA KINETICA,http://www.bellakinetica.com,THEATRE AND CIRCUS,FRIDAY,12:05 - 12:10,
BELLA KINETICA,http://www.bellakinetica.com,THEATRE AND CIRCUS,FRIDAY,14:46 - 14:51,
BELLA KINETICA,http://www.bellakinetica.com,THEATRE AND CIRCUS,SATURDAY,12:05 - 12:10,
BELLA KINETICA,http://www.bellakinetica.com,THEATRE AND CIRCUS,SATURDAY,14:46 - 14:51,
BELLA KINETICA,http://www.bellakinetica.com,THEATRE AND CIRCUS,SUNDAY,12:05 - 12:10,
BELLA KINETICA,http://www.bellakinetica.com,THEATRE AND CIRCUS,SUNDAY,14:46 - 14:51,
BELLA KINETICA- ROLLER SKATING,,THEATRE AND CIRCUS,SATURDAY,,
BELLA KINETICA- ROLLER SKATING,,THEATRE AND CIRCUS,SUNDAY,,
BEN & LEX,https://www.facebook.com/benandlex,GLADE,SATURDAY,18:00 - 19:15,
BEN BEN (DJ),,GREEN FIELDS,SATURDAY,18:00 - 20:30,
BEN KLOCK B2B MARCEL DETTMANN,https://www.facebook.com/pages/ben-klock/60928281674,SILVER HAYES,FRIDAY,00:30 - 03:00,"A straight fight between these two German DJs and producers, Klock with his techno hat on and Dettmann keen to broaden electronic music. The gloves are off!"
BENGA,https://www.facebook.com/iambenga?ref=br_tf,GLADE,SATURDAY,15:30 - 16:45,
BENITA JOHNSON (PRE-SHOW),www.benitajohnson.co.uk,THEATRE AND CIRCUS,FRIDAY,11:45 - 12:00,
BENITA JOHNSON (PRE-SHOW),www.benitajohnson.co.uk,THEATRE AND CIRCUS,SATURDAY,11:45 - 12:00,
BENITA JOHNSON (PRE-SHOW),www.benitajohnson.co.uk,THEATRE AND CIRCUS,SUNDAY,11:45 - 12:00,
BENNY PAGE,https://soundcloud.com/bennypagemusic,THE COMMON,SATURDAY,03:00 - 04:00,
BERNHOFT,http://bernhoft.org/,SILVER HAYES,SATURDAY,18:30 - 19:30,"A live set from the man who claims to be equal parts Sly Stone, Richie Havens and the Dap Kings, pretty good from someone who uses loops to create a huge sound and a monster groove."
BERNHOFT,,THE PARK,SATURDAY,21:00 - 21:45,
BERNHOFT,http://bernhoft.org/,SILVER HAYES,SUNDAY,13:00 - 14:00,"A live set from the man who claims to be equal parts Sly Stone, Richie Havens and the Dap Kings, pretty good from someone who uses loops to create a huge sound and a monster groove."
BETH ORTON,http://www.bethortonofficial.com/,AVALON,SATURDAY,20:15 - 21:15,"Celebrated singer-songwriter whose early mix of folk and electronica predated the folk revival, returning with an acoustic based sound that perfectly complements her gorgeous vocal style."
BEYOND REPAIR,http://www.beyondrepairdance.com,THEATRE AND CIRCUS,FRIDAY,12:20 - 12:40,
BEYOND REPAIR,http://www.beyondrepairdance.com,THEATRE AND CIRCUS,FRIDAY,19:40 - 20:00,dance
BEYOND REPAIR,http://www.beyondrepairdance.com,THEATRE AND CIRCUS,SATURDAY,12:20 - 12:40,
BEYOND REPAIR,http://www.beyondrepairdance.com,THEATRE AND CIRCUS,SATURDAY,19:50 - 20:10,
BEYOND REPAIR,http://www.beyondrepairdance.com,THEATRE AND CIRCUS,SUNDAY,12:20 - 12:40,
BEYOND REPAIR,http://www.beyondrepairdance.com,THEATRE AND CIRCUS,SUNDAY,20:00 - 20:20,
BIG BEAT,http://www.biggestbeat.com,THEATRE AND CIRCUS,FRIDAY,10:45 - 11:30,
BIG BEAT,,THEATRE AND CIRCUS,FRIDAY,15:40 - 16:10,
BIG BEAT,http://www.biggestbeat.com,THEATRE AND CIRCUS,SATURDAY,10:45 - 11:30,
BIG BEAT,,THEATRE AND CIRCUS,SATURDAY,15:40 - 16:10,
BIG BEAT,http://www.biggestbeat.com,THEATRE AND CIRCUS,SUNDAY,10:45 - 11:30,
BIG BEAT,,THEATRE AND CIRCUS,SUNDAY,15:40 - 16:10,
"BIG BILL'S RADICAL ROUND-UP FT. GET CAPE, WEAR CAPE, FLY, O'HOOLEY & TIDDOW AND MATT SKINNER",,LEFT FIELD,SATURDAY,15:00 - 16:00,
"BIG BILL'S RADICAL ROUND-UP FT. KIM CHURCHILL, THE YOUNG 'UNS AND LUCY WARD",,LEFT FIELD,FRIDAY,15:00 - 16:30,
"BIG BILL'S RADICAL ROUND-UP FT. ROBB JOHNSON AND SOAK, BLIZZARD",,LEFT FIELD,SUNDAY,15:00 - 16:00,
