title,url,stage,day,time,description
"A COLLECTION OF RADICAL FILMS CURATED BY SHANGRILART FEATURING : DR D-SUBVERTISER, REEL NEWS, DARREN CULLEN AND MANY MORE.",,GAS TOWER,SATURDAY,17:15 - 17:30,
"A COLLECTION OF RADICAL FILMS CURATED BY SHANGRILART FEATURING : DR D-SUBVERTISER, REEL NEWS, DARREN CULLEN AND MANY MORE.",,GAS TOWER,SATURDAY,15:00 - 16:00,
"A COLLECTION OF RADICAL FILMS CURATED BY SHANGRILART FEATURING : DR D-SUBVERTISER, REEL NEWS, DARREN CULLEN AND MANY MORE.",,GAS TOWER,SUNDAY,17:15 - 17:30,
"A COLLECTION OF RADICAL FILMS CURATED BY SHANGRILART FEATURING : DR D-SUBVERTISER, REEL NEWS, DARREN CULLEN AND MANY MORE.",,GAS TOWER,SUNDAY,15:00 - 16:00,
A J LAMBERT,,THE RABBIT HOLE,FRIDAY,03:00 - 04:00,
A LITTLE SOUND,,BLIND TIGER,THURSDAY,00:00 - 01:00,
A Q&A WITH PAM AYRES,,CABARET,SUNDAY,12:05 - 13:00,
A-FUTURE,,IICON,SUNDAY,02:00 - 03:30,
A.M.C & PHANTOM,,THE TEMPLE,SATURDAY,01:30 - 02:30,
A.M.C FT PHANTOM,,SONIC,SUNDAY,16:00 - 17:00,
AAA BADBOY,,TRUTH STAGE,THURSDAY,00:35 - 01:00,
AAA BADBOY,,TRUTH STAGE,THURSDAY,22:30 - 23:00,
AAEE B2B FONZO,"http://2 of bristol's finest new club selectors, spanning a wide range of club sounds from uk funky and baile funk through to lively uk bass business",BABYLON UPRISING,THURSDAY,01:00 - 02:45,
ABANDOMAN AKA ROB BRODERICK,,SENSATION SEEKERS STAGE,FRIDAY,22:20 - 23:05,
ABANDOMAN AKA ROB BRODERICK,,SENSATION SEEKERS STAGE,SATURDAY,14:00 - 14:49,
ABANDOMAN AKA ROB BRODERICK,,SENSATION SEEKERS STAGE,SUNDAY,13:40 - 14:25,
ABLE MABLE (COMPERE),,SENSATION SEEKERS STAGE,FRIDAY,15:36 - 15:44,
ABLE MABLE (COMPERE),,SENSATION SEEKERS STAGE,SATURDAY,11:50 - 11:59,
ABLE MABLE (COMPERE),,SENSATION SEEKERS STAGE,SUNDAY,15:01 - 15:04,
ABOVE AND BEYOND AERIAL WORKSHOP,,CIRCUS FIELD,FRIDAY,15:00 - 18:00,
ABOVE AND BEYOND AERIAL WORKSHOP,,CIRCUS FIELD,SATURDAY,15:00 - 18:00,
ABOVE AND BEYOND AERIAL WORKSHOP,,CIRCUS FIELD,SUNDAY,15:00 - 18:00,
ABOVE AND BEYOND FLYING DISPLAY: “MAYHEM!”,,CIRCUS FIELD,FRIDAY,13:50 - 14:20,
ABOVE AND BEYOND FLYING DISPLAY: “MAYHEM!”,,CIRCUS FIELD,SATURDAY,13:50 - 14:20,
ABOVE AND BEYOND FLYING DISPLAY: “MAYHEM!”,,CIRCUS FIELD,SUNDAY,13:50 - 14:20,
ABOVE AND BEYOND PRESENT: “MAYHEM!”,,CIRCUS FIELD,FRIDAY,00:30 - 01:00,
ABOVE AND BEYOND PRESENT:”MAYHEM!”,,CIRCUS FIELD,SATURDAY,00:30 - 01:00,
ABOVE AND BEYOND PRESENT:”MAYHEM!”,,CIRCUS FIELD,SUNDAY,00:30 - 01:00,
ABOVE AND BEYOND: “MAYHEM!” DRESS AND TECH RUN,,CIRCUS FIELD,THURSDAY,21:30 - 22:30,
ABSOLUTE.,,GREENPEACE,SATURDAY,22:00 - 00:00,
ABSOLUTE.,,BBC MUSIC INTRODUCING,THURSDAY,22:00 - 23:00,
ACCESS TO MUSIC/ROLAND,,MUZIKADEMY,THURSDAY,TBA,
ACCESS TO MUSIC/ROLAND,,MUZIKADEMY,FRIDAY,TBA,
ACCESS TO MUSIC/ROLAND,,MUZIKADEMY,SATURDAY,TBA,
ACCESS TO MUSIC/ROLAND,,MUZIKADEMY,SUNDAY,TBA,
ACID KLAUSS,,THE RABBIT HOLE,SATURDAY,15:45 - 16:30,
ACOUSTIC EASTERN JAM SESSION,,THE LIZARD STAGE,WEDNESDAY,01:00 - 02:30,
ADAEZE,"http://adaeze's legendary party sets span from afrobeats to uk funky and garage, via disco and house!",BABYLON UPRISING,SUNDAY,18:00 - 19:00,
ADAM ASBO,,THE BUG,FRIDAY,19:00 - 20:00,
ADAM HILLS,,CABARET,FRIDAY,18:55 - 19:25,
ADAM SCOTT GLASSPOOL,,THE LIZARD STAGE,FRIDAY,16:00 - 17:00,
ADAM SCOTT GLASSPOOL,,MANDALA STAGE,THURSDAY,18:00 - 19:00,
ADAM SCOTT GLASSPOOL,,MANDALA STAGE,SATURDAY,15:00 - 16:00,
ADAM SHELTON,,IICON,THURSDAY,20:00 - 21:25,
ADEEVAH,,FIRMLY ROOTED,THURSDAY,18:00 - 19:00,
ADWAITH,,BBC MUSIC INTRODUCING,SATURDAY,14:00 - 14:25,
AFRAID OF THE DARK,,AVALON'S CAFÉ STAGE,THURSDAY,18:00 - 18:45,
AFRAID OF THE DARK,,AVALON'S CAFÉ STAGE,SUNDAY,19:20 - 19:50,
AFRODEUTSCHE,,ARCADIA,SUNDAY,22:30 - 23:30,
AFRODITA NIKOLOVA,,POETRY&WORDS,FRIDAY,15:35 - 16:02,
AFT RAPS - CARASEL LIVE - BLACKSMITH & FRENIC,,BLIND TIGER,THURSDAY,22:00 - 00:00,
AFT RECORDS BTB RUN - CRITICAL IMPACT - D* MINDS - DAZEE - DUBBZ - MOVE -,,BLIND TIGER,SUNDAY,01:30 - 04:00,
AHADADREAM,,LONELY HEARTS CLUB,THURSDAY,00:10 - 01:00,
AHADADREAM,,STONEBRIDGE BAR,FRIDAY,20:00 - 21:30,
AI WEIWEI: YOURS TRULY - FILM WITH LIVE ACTIVATION,,GAS TOWER,SATURDAY,16:00 - 17:15,
AI WEIWEI: YOURS TRULY - FILM WITH LIVE ACTIVATION,,GAS TOWER,SUNDAY,16:00 - 17:15,
AIRFISH CIRCUS,,CIRCUS BIG TOP,FRIDAY,21:16 - 21:41,
AIRFISH CIRCUS,,CIRCUS BIG TOP,SATURDAY,20:58 - 21:28,
AIRFISH CIRCUS,,CIRCUS BIG TOP,SUNDAY,16:16 - 16:46,
AIRFISH CIRCUS,,MAVERICKS,FRIDAY,00:48 - 00:53,
AIRFISH CIRCUS,,MAVERICKS,SATURDAY,00:19 - 00:25,
AJ TRACEY,,PYRAMID STAGE,SATURDAY,16:00 - 16:45,
AJI PA' TI (ACOUSTIC),,GLASTO LATINO,WEDNESDAY,20:00 - 21:30,
AJIMAL,,BREAD AND ROSES,SUNDAY,12:30 - 13:30,
AKIRA,,THE PAVEMENT,FRIDAY,12:35 - 13:05,
AKIRA,,THE PAVEMENT,SATURDAY,12:15 - 12:45,
AKIRA,,THE PAVEMENT,SUNDAY,12:35 - 13:05,
AKIRA,,A LITTLE MORE SENSATION,FRIDAY,15:10 - 15:40,
AKIRA,,A LITTLE MORE SENSATION,SATURDAY,16:55 - 17:25,
AKIRA,,A LITTLE MORE SENSATION,SUNDAY,15:55 - 16:25,
ALAMAY & OMAR CASSIUS,,LONELY HEARTS CLUB,SATURDAY,12:45 - 12:55,
ALBERTO CADENA,,CIRCUS BIG TOP,THURSDAY,17:35 - 17:41,
ALBERTO CADENA,,CIRCUS BIG TOP,FRIDAY,15:55 - 16:01,
ALBERTO CADENA,,CIRCUS BIG TOP,FRIDAY,13:09 - 13:15,
ALBERTO CADENA,,CIRCUS BIG TOP,SATURDAY,12:34 - 12:40,
ALBERTO CADENA,,CIRCUS BIG TOP,SUNDAY,15:38 - 15:44,
ALBERTO CADENA,,CIRCUS BIG TOP,SUNDAY,13:09 - 13:15,
ALECTO,http://late night shopper head honcho bringing the high energy,BABYLON UPRISING,SATURDAY,22:00 - 23:00,
ALEWYA,,BBC MUSIC INTRODUCING,SATURDAY,18:10 - 18:35,
ALEX H DUNCAN - SUBCUBENSIS LIVE,,GREENPEACE,SUNDAY,10:00 - 11:00,
ALEX H DUNCAN MYCELIUM SOUNDS LIVE WORKSHOP,,GREENPEACE (BEAM),THURSDAY,14:00 - 16:00,
ALEX H DUNCAN MYCELIUM SOUNDS LIVE WORKSHOP,,GREENPEACE (BEAM),SATURDAY,14:00 - 16:00,
ALEX H DUNCAN MYCELIUM SOUNDS LIVE WORKSHOP,,GREENPEACE (BEAM),SUNDAY,14:00 - 16:00,
ALEX H DUNCAN MYCELIUM SOUNDS,,GREENPEACE (BEAM),THURSDAY,12:00 - 14:00,
ALEX H DUNCAN MYCELIUM SOUNDS,,GREENPEACE (BEAM),FRIDAY,10:00 - 12:00,
ALEX H DUNCAN MYCELIUM SOUNDS,,GREENPEACE (BEAM),SATURDAY,10:00 - 12:00,
ALEX H DUNCAN MYCELIUM SOUNDS,,GREENPEACE (BEAM),SUNDAY,10:00 - 14:00,
ALEX H DUNCAN PLANT AND POLLINATOR SOUNDS,,GREENPEACE (BEAM),SATURDAY,12:00 - 14:00,
ALEX HALL,,SMALL WORLD STAGE,SUNDAY,18:45 - 19:45,
ALEX HALL,,TOAD HALL,SUNDAY,16:00 - 16:40,
ALEX HALL,,MANDALA STAGE,SUNDAY,22:00 - 23:00,
ALEX PRIDDICE,,MANDALA STAGE,SUNDAY,17:00 - 18:00,
ALEX REX,,THE BANDSTAND,SATURDAY,15:00 - 15:40,
ALEX RITA & ERROL - TOUCHING BASS,,SAN REMO,SATURDAY,17:30 - 19:30,
"ALEX, KATIE, EVIE AND DODGE",,KIDZFIELD BIG TOP,THURSDAY,TBA,
"ALEX, KATIE, EVIE AND DODGE",,KIDZFIELD BIG TOP,FRIDAY,TBA,
"ALEX, KATIE, EVIE AND DODGE",,KIDZFIELD BIG TOP,SATURDAY,TBA,
"ALEX, KATIE, EVIE AND DODGE",,KIDZFIELD BIG TOP,SUNDAY,TBA,
ALFIE TEMPLEMAN,,WILLIAM'S GREEN,FRIDAY,20:30 - 21:30,
ALGY STRUTT,,RABBIT HOLE'S FUNKINGHAM PALACE,FRIDAY,02:00 - 03:00,
ALI & AVA (15),http://black lamp tent,CINERAMAGEDDON,FRIDAY,13:10 - 14:45,
ALI IS ME B2B ED ROCKSTAR,,GAS TOWER,SUNDAY,18:30 - 19:30,
ALICE OFFLEY,,THE LIZARD STAGE,SATURDAY,21:00 - 22:00,
ALINKA,,GENOSYS SOUND SYSTEM,THURSDAY,20:00 - 22:00,
ALISTAIR BARRIE (COMPERE),,CABARET,FRIDAY,12:00 - 12:04,
ALISTAIR BARRIE (COMPERE),,CABARET,SATURDAY,15:51 - 15:54,
ALL WE ARE,,WILLIAM'S GREEN,FRIDAY,15:30 - 16:10,
ALPS 2,,STRUMMERVILLE,THURSDAY,23:30 - 01:30,
ALY RAINEY,,MANDALA STAGE,SATURDAY,23:00 - 00:00,
AMAHLA,,LONELY HEARTS CLUB,SUNDAY,13:00 - 13:30,
AMANDA & ALBERTO,,CIRCUS BIG TOP,THURSDAY,19:31 - 19:37,
AMANDA & ALBERTO,,CIRCUS BIG TOP,FRIDAY,12:10 - 12:16,
AMANDA & ALBERTO,,CIRCUS BIG TOP,SATURDAY,15:55 - 16:01,
AMANDA & ALBERTO,,CIRCUS BIG TOP,SATURDAY,12:10 - 12:16,
AMANDA & ALBERTO,,CIRCUS BIG TOP,SUNDAY,12:10 - 12:16,
AMANDA WESLEY,,CIRCUS BIG TOP,FRIDAY,14:33 - 14:39,
AMANDA WESLEY,,CIRCUS BIG TOP,SATURDAY,14:33 - 14:39,
AMANDA WESLEY,,CIRCUS BIG TOP,SUNDAY,14:21 - 14:27,
AMATEURISM,,SAN REMO,FRIDAY,12:00 - 13:30,
AMY CUTLER & BARNEY KASS (A/V),,GAS TOWER,SUNDAY,17:30 - 18:30,
AMY HOOPLOVIN,,CABARET,FRIDAY,23:10 - 23:20,
AMYL AND THE SNIFFERS,,JOHN PEEL STAGE,SUNDAY,17:00 - 18:00,
AN AUDIENCE WITH REGINALD D HUNTER - HOSTED BY DR SHAWN NEPTALI SOBERS,,CABARET,SATURDAY,17:05 - 18:00,
ANDREAS MALME,,SPEAKERS FORUM,THURSDAY,16:00 - 17:00,
ANDREW MAXWELL MORRIS,,TOAD HALL,WEDNESDAY,19:30 - 20:15,
ANDREW MAXWELL MORRIS,,TOAD HALL,SUNDAY,14:45 - 15:30,
ANDREW MAXWELL MORRIS,,MANDALA STAGE,SATURDAY,14:00 - 15:00,
ANDREW MAXWELL MORRIS,,BREAD AND ROSES,THURSDAY,17:30 - 18:30,
ANDREW MELIA,,WALKABOUTS,FRIDAY,14:35 - 15:20,
ANDREW MORRIS,,SMALL WORLD STAGE,FRIDAY,19:30 - 20:30,
ANDREW O'NEILL,,CABARET,FRIDAY,01:15 - 01:45,
ANDREW O'NEILL,,CABARET,SATURDAY,00:20 - 00:50,
ANDREW SIMMS,,SPEAKERS FORUM,FRIDAY,12:00 - 13:00,
ANDREW SIMMS,,SPEAKERS FORUM,SATURDAY,10:00 - 11:00,
ANDY AND THE ODD SOCKS,,KIDZFIELD BIG TOP,THURSDAY,TBA,
ANDY AND THE ODD SOCKS,,KIDZFIELD BIG TOP,FRIDAY,TBA,
ANDY AND THE ODD SOCKS,,KIDZFIELD BIG TOP,SATURDAY,TBA,
ANDY AND THE ODD SOCKS,,KIDZFIELD BIG TOP,SUNDAY,TBA,
ANDY BARKER (808 STATE) TRIBUTE,,FLYING BUS,SATURDAY,23:00 - 23:05,
ANDY BELL (RIDE/GLOK) DJ,,STRUMMERVILLE,FRIDAY,01:30 - 03:00,
ANDY C,,GLADE,SATURDAY,23:10 - 00:40,
ANDY CARROLL,,GREENPEACE,SUNDAY,22:30 - 00:00,
ANDY TYMAN,,SMALL WORLD STAGE,FRIDAY,13:00 - 14:00,
ANGEL MEL,,TRUTH STAGE,SATURDAY,00:50 - 01:20,
ANGEL MEL,,TRUTH STAGE,SATURDAY,23:30 - 00:00,
ANGELIQUE KIDJO IN CONVERSATION,,WILLIAM'S GREEN,SUNDAY,10:20 - 11:00,
ANGELIQUE KIDJO,,WEST HOLTS STAGE,SUNDAY,20:00 - 21:00,
ANIMAL CROSSING DJS,,FLYING BUS,SUNDAY,22:00 - 00:00,
ANINA,,FIRMLY ROOTED,SATURDAY,13:30 - 15:00,
ANNA PRANK,,BLIND TIGER,SATURDAY,22:00 - 23:00,
ANNIE MAC,,GLADE,FRIDAY,21:15 - 22:30,
ANNIE TRAILER TRASH,,DELUXE DINER,WEDNESDAY,20:00 - 22:00,
ANS,,GLADE DOME,SUNDAY,22:00 - 23:15,
ANTIMATADOR,,THE BANDSTAND,FRIDAY,00:00 - 01:00,
ANXIOUS REX,,BIMBLE INN,THURSDAY,00:00 - 03:00,
ANZ,,SONIC,FRIDAY,19:30 - 21:00,
APH,,BLIND TIGER,FRIDAY,00:00 - 01:00,
APIENTO,,SAN REMO,SATURDAY,19:30 - 21:00,
ARCHIE HAMILTON - VJ BLINKINLAB,,GAS TOWER,SUNDAY,23:30 - 00:30,
ARCHIE HAMILTON,,FLYING BUS,FRIDAY,00:00 - 02:00,
ARIELLE COTTINGHAM,,POETRY&WORDS,FRIDAY,16:35 - 17:02,
ARIELLE COTTINGHAM,,POETRY&WORDS,SATURDAY,14:33 - 15:00,
ARIELLE FREE,,STONEBRIDGE BAR,THURSDAY,16:30 - 17:30,
ARLO PARKS,,THE PARK STAGE,FRIDAY,18:15 - 19:15,
AROOJ AFTAB,,WEST HOLTS STAGE,FRIDAY,13:00 - 14:00,
AROUND ABOUT DUSK,,SMALL WORLD STAGE,SATURDAY,16:15 - 17:15,
AROUND ABOUT DUSK,,THE BANDSTAND,SUNDAY,15:00 - 15:40,
ARRAY COLLECTIVE,,WALKABOUTS,THURSDAY,16:00 - 17:00,
ARRAY COLLECTIVE,,WALKABOUTS,FRIDAY,16:00 - 17:00,
ARRAY COLLECTIVE,,WALKABOUTS,SATURDAY,16:00 - 17:00,
ARRAY COLLECTIVE,,WALKABOUTS,SUNDAY,16:00 - 17:00,
ARRDEE,,LONELY HEARTS CLUB,SATURDAY,19:45 - 20:30,
ARTWORK PRES: MORE AMOUR,,LONELY HEARTS CLUB,SATURDAY,00:30 - 03:00,
ARTWORK,,SAN REMO,FRIDAY,22:30 - 00:00,
ARTWORK,,RABBIT HOLE'S FUNKINGHAM PALACE,FRIDAY,03:00 - 04:00,
ARTWORK,,NYC DOWNLOW,THURSDAY,20:00 - 21:50,
ASBO DISCO B2B QUEEN OF PRESSURE,,PLATFORM 23,SATURDAY,22:00 - 23:00,
ASHA GOLD,,BBC MUSIC INTRODUCING,FRIDAY,12:55 - 13:20,
ASTRAL RIDERS,,RABBIT HOLE'S FUNKINGHAM PALACE,SUNDAY,00:00 - 01:00,
ASYLUMS,,LEFT FIELD,SATURDAY,17:00 - 17:45,
ATHALAHTA,,MANDALA STAGE,WEDNESDAY,00:00 - 01:00,
AUM,,THE RUM SHACK,FRIDAY,05:00 - 06:00,
AVA,,STRUMMERVILLE,SATURDAY,15:00 - 16:00,
AVALON EMERSON,,WOW,SATURDAY,01:00 - 03:00,
AZIZA JAYE,,THE LIZARD STAGE,SATURDAY,17:15 - 18:00,
B:RAVE,,SENSATION SEEKERS STAGE,FRIDAY,00:05 - 00:50,
B:RAVE,,SENSATION SEEKERS STAGE,SATURDAY,22:30 - 23:15,
BABY DINO,,THE KIDZ FIELD,THURSDAY,TBA,
BABY DINO,,THE KIDZ FIELD,FRIDAY,TBA,
BABY DINO,,THE KIDZ FIELD,SATURDAY,TBA,
BABY DINO,,THE KIDZ FIELD,SUNDAY,TBA,
BABYLON UPRISING CREW,"http://babylon uprising market soundsystem is the centre of orbit for a group of creators from multiple disciplines, including musicians, producers, artists, builders and designers. run exclusively not-for-profit on the diy principles of independence, equality and togetherness - the core purpose of the project is to lift everyone in the dance upward in the galvanising spirit of rave and sound system culture.",BABYLON UPRISING,THURSDAY,12:00 - 15:00,
BACHELORS OF PARADISE,,WALKABOUTS,FRIDAY,14:40 - 15:25,
BACHELORS OF PARADISE,,WALKABOUTS,FRIDAY,12:05 - 12:40,
BACHELORS OF PARADISE,,WALKABOUTS,SATURDAY,14:40 - 15:25,
BACHELORS OF PARADISE,,WALKABOUTS,SATURDAY,12:05 - 12:40,
BACHELORS OF PARADISE,,WALKABOUTS,SUNDAY,14:40 - 15:25,
BACHELORS OF PARADISE,,WALKABOUTS,SUNDAY,12:05 - 12:40,
BACK BEFORE BREAKFAST,,THE BANDSTAND,SATURDAY,12:30 - 13:00,
"BACK TO MINE TAKEOVER FEAT CRAZY P, SEAN BROSNAN & SPECIAL GUESTS",,PLATFORM 23,SATURDAY,02:00 - 05:00,
BAD BOY CHILLER CREW,,LONELY HEARTS CLUB,SATURDAY,20:45 - 21:30,
BAD BOY CHILLER CREW,"http://will pull a young 15- 25 crowd, reputation of prangsters",THE RABBIT HOLE,THURSDAY,22:00 - 23:00,
BAD BOY CHILLER CREW,,JOHN PEEL STAGE,FRIDAY,12:45 - 13:30,
BAD GIRLZ,,TOTEM,THURSDAY,20:00 - 21:00,
BADEN PRINCE,,STORYTELLERS LOUNGE,THURSDAY,TBA,
BADEN PRINCE,,STORYTELLERS LOUNGE,FRIDAY,TBA,
BADEN PRINCE,,STORYTELLERS LOUNGE,SATURDAY,TBA,
BADEN PRINCE,,STORYTELLERS LOUNGE,SUNDAY,TBA,
