title,url,stage,day,time,description
A DAY AT THE BEACH,https://www.instagram.com/theamazinggracieb/,THE GLEBE,THURSDAY,13:30 - 14:00,
A DAY AT THE BEACH,https://www.instagram.com/theamazinggracieb/,THE GLEBE,SATURDAY,13:25 - 13:55,
A DAY AT THE BEACH,https://www.instagram.com/theamazinggracieb/,THE GLEBE,SUNDAY,14:00 - 14:30,
A DAY AT THE BEACH,https://www.instagram.com/theamazinggracieb/,THE PAVEMENT,FRIDAY,17:20 - 17:50,
A DAY AT THE BEACH,https://www.instagram.com/theamazinggracieb/,A LITTLE MORE SENSATION,THURSDAY,16:40 - 17:10,
A DAY AT THE BEACH,https://www.instagram.com/theamazinggracieb/,A LITTLE MORE SENSATION,SATURDAY,15:30 - 16:00,
A FOR ALPHA,,LEVELS,SATURDAY,13:30 - 15:00,"Electronic music luminary drawing inspiration from the 90s underground scene, blending reworked classics with contemporary productions."
A GIRL WALKS HOME ALONE AT NIGHT 15,https://www.imdb.com/title/tt2326554/,PILTON PALAIS CINEMA,SUNDAY,00:30 - 02:35,
A GUY CALLED GERALD AND THE JUNGLE DRUMMER,https://www.instagram.com/aguycalledgerald/,THE RUM SHACK,SUNDAY,01:00 - 02:00,
A GUY CALLED GERALD,https://www.instagram.com/aguycalledgerald/,PLATFORM 23,SATURDAY,04:00 - 05:00,
A GUY CALLED GERALD,https://www.guycalledgerald.com/,GENOSYS,SUNDAY,21:00 - 23:00,
A LITTLE SOUND,https://www.instagram.com/alittlesounduk,ARCADIA,SUNDAY,23:40 - 00:30,This performance features significant strobe lighting effects
A- FUTURE,https://ra.co/dj/afuture,IICON,SATURDAY,20:00 - 22:15,"A-Future, Adam Shelton's alias, offers deep electro, acid, and intricate drum mixes. Transporting listeners through alien soundscapes."
A.K.D.,https://antikvariniaikaspirovskiodantys.lt,THE BANDSTAND,THURSDAY,00:00 - 01:00,
ABBIE MCCARTHY (DJ SET),https://www.instagram.com/abbieabbiemac/,GREENPEACE,SATURDAY,19:30 - 20:30,
ABBIE MCCARTHY (DJ SET),https://www.instagram.com/abbieabbiemac/,WISHING WELL,SUNDAY,00:30 - 01:30,
ABIGAIL 18,https://www.imdb.com/title/tt27489557/,PILTON PALAIS CINEMA,THURSDAY,00:30 - 02:00,
ACID JOE,,DELUXE DINER,THURSDAY,00:00 - 01:30,
ACOUSTIC JAM SESSION,,LUNCHED OUT LIZARDS,WEDNESDAY,23:00 - 00:00,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,WEDNESDAY,21:15 - 22:00,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,WEDNESDAY,11:00 - 11:45,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,THURSDAY,11:00 - 11:45,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,FRIDAY,22:00 - 22:45,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,FRIDAY,21:00 - 21:45,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,SATURDAY,11:00 - 11:30,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,SUNDAY,21:15 - 22:00,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,SUNDAY,20:15 - 21:00,
ACTIONS SKILLS WORKSHOPS,,GREENPEACE (BEAM),WEDNESDAY,15:30 - 17:00,
ACTIONS SKILLS WORKSHOPS,,GREENPEACE (BEAM),THURSDAY,13:00 - 15:00,
ACTIONS SKILLS WORKSHOPS,,GREENPEACE (BEAM),SUNDAY,10:30 - 12:00,
ACTIVISM IS NOT A CRIME,,GREENPEACE (BEAM),THURSDAY,12:00 - 12:30,
ACTIVIST INTERSECTION,,GREENPEACE (BEAM),WEDNESDAY,11:00 - 14:00,
ACTIVIST INTERSECTION,,GREENPEACE (BEAM),THURSDAY,10:00 - 10:30,
ADAM SCOTT GLASPOOL,https://adamscottglasspool.bandcamp.com/,LUNCHED OUT LIZARDS,SATURDAY,15:30 - 16:30,
ADAM SCOTT GLASSPOOL,https://www.youtube.com/channel/ucjtkw4i_wtfdnagapjh5diw/playlists,MANDALA STAGE,THURSDAY,18:30 - 19:30,
ADAM SHELTON,https://ra.co/dj/adamshelton,IICON,THURSDAY,20:00 - 21:30,"Adam Shelton, Walsall-born, runs Below raves, One Records, Café Artum, and London’s Tantrum. Electro visionary launching Eon Records."
ADELPHI MUSIC FACTORY,https://www.instagram.com/adelphimusicfactory,GREENPEACE,THURSDAY,00:00 - 01:30,
ADMNTI B2B JACK LING,,GLADE DOME,SATURDAY,16:30 - 18:00,"ADMNTi has established himself as one of the tastemakers of his generation. FUSE and its offshoot INFUSE, Half Baked and Beeyou are some of the brands he has been known to frequent. Jack lings versatility and commitment to digging deep into the records of the past and keeping an ear to the ground."
ADRIANA'S KEYS,https://www.youtube.com/@adrianaskeys,MANDALA STAGE,WEDNESDAY,18:45 - 19:10,
AERIAL HIGH JINKS,https://www.instagram.com/jen.and.lk/,OUTSIDE CIRCUS STAGE,FRIDAY,00:24 - 00:32,
AERIAL HIGH JINKS,https://www.instagram.com/jen.and.lk/,OUTSIDE CIRCUS STAGE,SATURDAY,00:31 - 00:39,
AERIAL HIGH JINKS,https://www.instagram.com/jen.and.lk/,OUTSIDE CIRCUS STAGE,SUNDAY,00:27 - 00:35,
AERIAL HIGH JINKS,https://www.instagram.com/jen.and.lk/,OUTSIDE CIRCUS STAGE,SUNDAY,23:31 - 23:37,
AFLO,,POETRY&WORDS,FRIDAY,15:19 - 15:44,
AFRICAN DANCE WITH PENNY AVERY,,HUMBLEWELL ACTIVE PLATFORM,THURSDAY,13:45 - 14:15,
AFRICAN DANCE WITH PENNY AVERY,,HUMBLEWELL ACTIVE PLATFORM,THURSDAY,13:00 - 13:30,
AFRICAN DANCE WITH PENNY AVERY,,HUMBLEWELL ACTIVE PLATFORM,FRIDAY,14:15 - 15:00,
AFRICAN DANCE WITH PENNY AVERY,,HUMBLEWELL ACTIVE PLATFORM,SATURDAY,13:45 - 14:15,
AFRICAN DANCE WITH PENNY AVERY,,HUMBLEWELL ACTIVE PLATFORM,SATURDAY,13:00 - 13:30,
AFRICAN DANCE WITH PENNY AVERY,,HUMBLEWELL ACTIVE PLATFORM,SUNDAY,13:45 - 14:15,
AFRICAN DANCE WITH PENNY AVERY,,HUMBLEWELL ACTIVE PLATFORM,SUNDAY,13:00 - 13:30,
AFRIQUOI,https://earth-agency.com/artist/afriquoi/,PEACE STAGE,FRIDAY,02:45 - 03:30,
AFRIQUOI,https://afroquoi.bandcamp.com,CROISSANT NEUF,THURSDAY,22:00 - 23:00,
AFRIQUOI,https://earth-agency.com/artist/afriquoi/,GLADE,SATURDAY,14:00 - 15:00,"Live African dance music, fusing Congolese guitar and Gambian kora virtuosity with UK electronica to make dancefloor-friendly new music."
AFRODEUTSCHE,https://ra.co/dj/afrodeutsche,IICON,SATURDAY,00:30 - 02:00,"AFRODEUTSCHE, Henrietta Smith-Rolla, Manchester-based DJ/producer. Blends Afrofuturistic electro, techno, classical, Detroit house. Drexciyan and Underground Resistance-inspired."
AHADADREAM B2B NIKKI NAIR B2B RAJI RAGS [DIALLED IN TAKEOVER],,LONELY HEARTS CLUB,THURSDAY,01:00 - 03:00,Producer and DJ Nikki Nair’s hybridized dance music meets Ahadadream’s percussive gems and Rags’ hip hop sounds.
AHADADREAM,https://www.instagram.com/ahadadreamx/,GREENPEACE,SATURDAY,01:00 - 03:00,
AHADADREAM,https://www.ahadadream.com/,GENOSYS,FRIDAY,21:30 - 23:30,
AI VS. NATURE (Q&A WITH GORDON BLAIR),https://www.ceh.ac.uk/staff/gordon-blair,LABORATORY STAGE,THURSDAY,14:15 - 14:45,
AIRSINE,https://www.airsine.co.uk,CORNISH ARMS,SATURDAY,19:00 - 21:00,
AISHA MIRZA (DJ SET) & THE COCOA BUTTER CLUB,https://www.instagram.com/uglyinahotway,SCISSORS,SATURDAY,23:15 - 00:45,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,THE PAVEMENT,SATURDAY,17:40 - 18:10,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,THE PAVEMENT,SUNDAY,17:05 - 17:35,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,A LITTLE MORE SENSATION,FRIDAY,15:50 - 16:20,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,A LITTLE MORE SENSATION,SATURDAY,13:10 - 13:40,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,A LITTLE MORE SENSATION,SUNDAY,14:20 - 14:50,
AKIRA,https://www.facebook.com/yukinkoakira.official,SENSATION SEEKERS STAGE,FRIDAY,13:25 - 13:55,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,MAVERICKS,FRIDAY,01:40 - 01:48,
ALBERT LEE,https://www.instagram.com/official_albert_lee,ACOUSTIC STAGE,SATURDAY,16:00 - 16:40,Well-travelled guitarist’s guitarist with a unique picking style performed at breakneck speeds that have to be seen to be believed.
ALEX B AND GAS MAN (DJ SET),,WISHING WELL,FRIDAY,13:30 - 14:15,
ALEX DOVER,,SMALL WORLD STAGE,SUNDAY,19:45 - 20:45,
